SpName,varText,,Groups,Obs_Occ,biasSum,Prop_reports,Exp_Occ,Chi_Val,CompareVal
Abies_amabilis,TX,G,1,442,901798,0.2225,104.7975,1085.0023,greater
Abies_amabilis,TX,G,2,22,1031725,0.2546,119.9166,79.9527,lesser
Abies_amabilis,TX,G,3,4,653130,0.1612,75.9252,68.1359,lesser
Abies_amabilis,TX,G,4,1,610776,0.1507,70.9797,68.9938,lesser
Abies_amabilis,TX,G,5,2,855048,0.211,99.381,95.4212,lesser
Abies_amabilis,TN,G,1,3,1303793,0.3217,151.5207,145.5801,lesser
Abies_amabilis,TN,G,2,32,1121833,0.2768,130.3728,74.2272,lesser
Abies_amabilis,TN,G,3,219,875179,0.216,101.736,135.162,greater
Abies_amabilis,TN,G,4,164,457583,0.1129,53.1759,230.9689,greater
Abies_amabilis,TN,G,5,53,294089,0.0726,34.1946,10.3421,greater
Abies_amabilis,VX,G,1,415,1081752,0.2669,125.7099,665.7293,greater
Abies_amabilis,VX,G,2,45,953847,0.2354,110.8734,39.1375,lesser
Abies_amabilis,VX,G,3,8,452120,0.1116,52.5636,37.7812,lesser
Abies_amabilis,VX,G,4,1,660863,0.1631,76.8201,74.8331,lesser
Abies_amabilis,VX,G,5,2,903895,0.223,105.033,101.0711,lesser
Abies_amabilis,VN,G,1,24,953258,0.2352,110.7792,67.9787,lesser
Abies_amabilis,VN,G,2,174,814172,0.2009,94.6239,66.5853,greater
Abies_amabilis,VN,G,3,229,982574,0.2425,114.2175,115.3503,greater
Abies_amabilis,VN,G,4,32,664034,0.1639,77.1969,26.4617,lesser
Abies_amabilis,VN,G,5,12,638439,0.1575,74.1825,52.1237,lesser
Abies_balsamea,TX,G,1,4451,901798,0.2225,1054.65,10937.4611,greater
Abies_balsamea,TX,G,2,287,1031725,0.2546,1206.804,701.0578,lesser
Abies_balsamea,TX,G,3,2,653130,0.1612,764.088,760.0932,lesser
Abies_balsamea,TX,G,4,4451,610776,0.1507,714.318,19547.0258,greater
Abies_balsamea,TX,G,5,287,855048,0.211,1000.14,508.4975,lesser
Abies_balsamea,TN,G,1,8,1303793,0.3217,1524.858,1508.9,lesser
Abies_balsamea,TN,G,2,291,1121833,0.2768,1312.032,794.5739,lesser
Abies_balsamea,TN,G,3,2672,875179,0.216,1023.84,2653.1796,greater
Abies_balsamea,TN,G,4,1769,457583,0.1129,535.146,2844.8231,greater
Abies_balsamea,TN,G,5,8,294089,0.0726,344.124,328.31,lesser
Abies_balsamea,VX,G,1,4647,1081752,0.2669,1265.106,9040.5128,greater
Abies_balsamea,VX,G,2,93,953847,0.2354,1115.796,937.5474,lesser
Abies_balsamea,VX,G,3,4647,452120,0.1116,528.984,32057.7858,greater
Abies_balsamea,VX,G,4,93,660863,0.1631,773.094,598.2815,lesser
Abies_balsamea,VX,G,5,4647,903895,0.223,1057.02,12192.7271,greater
Abies_balsamea,VN,G,1,6,953258,0.2352,1114.848,1102.8803,lesser
Abies_balsamea,VN,G,2,306,814172,0.2009,952.266,438.5957,lesser
Abies_balsamea,VN,G,3,552,982574,0.2425,1149.45,310.5368,lesser
Abies_balsamea,VN,G,4,3876,664034,0.1639,776.886,12362.8275,greater
Abies_balsamea,VN,G,5,6,638439,0.1575,746.55,734.5982,lesser
Abies_bracteata,TX,G,1,63,901798,0.2225,34.4875,23.5727,greater
Abies_bracteata,TX,G,2,49,1031725,0.2546,39.463,2.3048,greater
Abies_bracteata,TX,G,3,20,653130,0.1612,24.986,0.995,lesser
Abies_bracteata,TX,G,4,20,610776,0.1507,23.3585,0.4829,lesser
Abies_bracteata,TX,G,5,3,855048,0.211,32.705,26.9802,lesser
